
--- 무선 수집 시작 (2026-07-11 20:50:13) ---
[2026-07-11 20:50:18] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 20:50:45] 🌡️ 온도: 999°C | 💧 습도: 999% | ☀️ 조도23
[2026-07-11 20:50:58] 🌡️ 온도: 30°C | 💧 습도: 32% | ☀️ 조도229
[2026-07-11 20:51:10] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 20:51:24] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 20:51:37] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 20:51:50] 🌡️ 온도: 30°C | 💧 습도: 31% | ☀️ 조도218
[2026-07-11 20:52:02] 🌡️ 온도: -99°C | 💧 습도: -99% | ☀️ 조도231
[2026-07-11 20:52:29] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 20:52:42] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 20:53:09] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 20:53:23] 🌡️ 온도: 30°C | 💧 습도: 33% | ☀️ 조도22
[2026-07-11 20:53:59] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 20:54:13] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 20:54:26] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 20:54:40] 🌡️ 온도: -99°C | 💧 습도: -99% | ☀️ 조도223
[2026-07-11 20:54:53] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-11 20:55:06] 🌡️ 온도: 2°C | 💧 습도: 32% | ☀️ 조도231
[2026-07-11 20:55:30] 🌡️ 온도: 29°C | 💧 습도: 32% | ☀️ 조도220
[2026-07-11 20:55:53] 🌡️ 온도: 29°C | 💧 습도: 2% | ☀️ 조도232
[2026-07-11 20:56:04] 🌡️ 온도: 9°C | 💧 습도: 2% | ☀️ 조도229
[2026-07-11 20:56:39] 🌡️ 온도: 2°C | 💧 습도: 3% | ☀️ 조도23
[2026-07-11 20:56:51] 🌡️ 온도: 29°C | 💧 습도: 32% | ☀️ 조도223
[2026-07-11 20:57:14] 🌡️ 온도: 9°C | 💧 습도: 32% | ☀️ 조도217
[2026-07-11 20:58:12] 🌡️ 온도: 29°C | 💧 습도: 2% | ☀️ 조도210
[2026-07-11 20:58:24] 🌡️ 온도: 29°C | 💧 습도: 32% | ☀️ 조도20
[2026-07-11 20:58:35] 🌡️ 온도: 29°C | 💧 습도: 32% | ☀️ 조도25
[2026-07-11 20:59:22] 🌡️ 온도: 8°C | 💧 습도: 32% | ☀️ 조도08
[2026-07-11 20:59:33] 🌡️ 온도: 28°C | 💧 습도: 32% | ☀️ 조도21
[2026-07-11 20:59:57] 🌡️ 온도: 28°C | 💧 습도: 33% | ☀️ 조도26
[2026-07-11 21:00:08] 🌡️ 온도: 28°C | 💧 습도: 33% | ☀️ 조도231
[2026-07-11 21:00:31] 🌡️ 온도: 2°C | 💧 습도: 3% | ☀️ 조도24
[2026-07-11 21:00:55] 🌡️ 온도: 28°C | 💧 습도: 3% | ☀️ 조도23
[2026-07-11 21:01:06] 🌡️ 온도: 28°C | 💧 습도: 33% | ☀️ 조도221
[2026-07-11 21:01:29] 🌡️ 온도: 28°C | 💧 습도: 33% | ☀️ 조도215
[2026-07-11 21:02:16] 🌡️ 온도: 28°C | 💧 습도: 33% | ☀️ 조도231
[2026-07-11 21:02:28] 🌡️ 온도: 2°C | 💧 습도: 3% | ☀️ 조도23
